Frame,Time,LinearDisplacement1,LinearDisplacement2,AngularDisplacement2,AngularVelocity1,AngularVelocity2,AngularVelocity3
131,1.041,1.9417E+02,1.2439E+02,3.0965E-04,-4.2094E+00,-1.4743E+02,-1.3594E+02
132,1.051,1.9479E+02,1.2501E+02,8.9743E-05,-5.6051E+00,-1.4907E+02,-1.3473E+02
133,1.061,1.9541E+02,1.2563E+02,3.6955E-04,-6.7264E+00,-1.5073E+02,-1.3353E+02
134,1.071,1.9602E+02,1.2625E+02,9.4497E-05,-7.6771E+00,-1.5205E+02,-1.3199E+02
135,1.080,1.9660E+02,1.2684E+02,3.4613E-04,-8.8949E+00,-1.5386E+02,-1.3107E+02
136,1.081,1.9663E+02,1.2687E+02,1.3943E-04,-8.9176E+00,-1.5417E+02,-1.3123E+02
137,1.091,1.9724E+02,1.2749E+02,3.5703E-04,-1.0044E+01,-1.5550E+02,-1.2967E+02
138,1.101,1.9786E+02,1.2811E+02,1.0950E-04,-1.1498E+01,-1.5737E+02,-1.2863E+02
139,1.111,1.9847E+02,1.2873E+02,5.7509E-05,-1.2131E+01,-1.5913E+02,-1.2747E+02
140,1.120,1.9904E+02,1.2933E+02,2.7958E-04,-1.3386E+01,-1.6063E+02,-1.2618E+02
141,1.121,1.9908E+02,1.2936E+02,2.3417E-04,-1.3395E+01,-1.6101E+02,-1.2640E+02
142,1.131,1.9968E+02,1.2999E+02,3.7366E-04,-1.4520E+01,-1.6278E+02,-1.2522E+02
143,1.141,2.0029E+02,1.3062E+02,2.0722E-04,-1.5600E+01,-1.6456E+02,-1.2402E+02
144,1.151,2.0089E+02,1.3125E+02,4.5433E-05,-1.6179E+01,-1.6633E+02,-1.2279E+02
145,1.160,2.0146E+02,1.3185E+02,4.1126E-05,-1.7776E+01,-1.6820E+02,-1.2179E+02
146,1.161,2.0149E+02,1.3188E+02,2.7963E-05,-1.7862E+01,-1.6818E+02,-1.2161E+02
147,1.171,2.0209E+02,1.3251E+02,2.2843E-05,-1.8445E+01,-1.7022E+02,-1.2060E+02
148,1.181,2.0269E+02,1.3315E+02,6.0185E-05,-2.0102E+01,-1.7234E+02,-1.1964E+02
149,1.191,2.0328E+02,1.3378E+02,5.5460E-05,-2.1311E+01,-1.7442E+02,-1.1861E+02
150,1.200,2.0384E+02,1.3439E+02,9.3607E-05,-2.2088E+01,-1.7630E+02,-1.1752E+02
151,1.201,2.0388E+02,1.3443E+02,5.8913E-05,-2.2277E+01,-1.7617E+02,-1.1723E+02
152,1.211,2.0447E+02,1.3507E+02,5.7856E-05,-2.3383E+01,-1.7842E+02,-1.1631E+02
153,1.221,2.0505E+02,1.3571E+02,1.1670E-04,-2.4526E+01,-1.8065E+02,-1.1534E+02
154,1.231,2.0563E+02,1.3636E+02,2.4159E-04,-2.4980E+01,-1.8261E+02,-1.1406E+02
155,1.240,2.0618E+02,1.3698E+02,1.7154E-04,-2.6673E+01,-1.8485E+02,-1.1322E+02
156,1.241,2.0622E+02,1.3701E+02,2.2407E-04,-2.6511E+01,-1.8529E+02,-1.1348E+02
157,1.251,2.0679E+02,1.3767E+02,7.2667E-05,-2.7720E+01,-1.8756E+02,-1.1245E+02
158,1.261,2.0737E+02,1.3832E+02,-1.5654E-05,-2.9388E+01,-1.8964E+02,-1.1118E+02
159,1.271,2.0794E+02,1.3899E+02,1.2679E-04,-3.0067E+01,-1.9207E+02,-1.1024E+02
160,1.280,2.0848E+02,1.3961E+02,2.3395E-04,-3.0923E+01,-1.9422E+02,-1.0917E+02
161,1.281,2.0851E+02,1.3965E+02,2.1960E-04,-3.0963E+01,-1.9468E+02,-1.0943E+02
162,1.291,2.0908E+02,1.4031E+02,-1.1055E-05,-3.2569E+01,-1.9681E+02,-1.0811E+02
163,1.301,2.0963E+02,1.4098E+02,2.3030E-04,-3.3400E+01,-1.9932E+02,-1.0712E+02
164,1.311,2.1019E+02,1.4165E+02,3.1103E-05,-3.4603E+01,-2.0204E+02,-1.0630E+02
165,1.320,2.1071E+02,1.4229E+02,2.3252E-05,-3.5561E+01,-2.0432E+02,-1.0521E+02
166,1.321,2.1074E+02,1.4233E+02,1.0892E-04,-3.5439E+01,-2.0432E+02,-1.0499E+02
167,1.331,2.1130E+02,1.4300E+02,8.8422E-05,-3.6753E+01,-2.0737E+02,-1.0442E+02
168,1.341,2.1184E+02,1.4368E+02,7.4731E-05,-3.7827E+01,-2.0968E+02,-1.0306E+02
169,1.351,2.1238E+02,1.4437E+02,1.4871E-05,-3.8940E+01,-2.1249E+02,-1.0216E+02
170,1.360,2.1289E+02,1.4501E+02,3.3926E-05,-4.0008E+01,-2.1490E+02,-1.0104E+02
171,1.361,2.1292E+02,1.4506E+02,2.3650E-04,-4.0100E+01,-2.1491E+02,-1.0081E+02
172,1.371,2.1345E+02,1.4575E+02,-5.8861E-05,-4.1323E+01,-2.1804E+02,-1.0014E+02
173,1.381,2.1397E+02,1.4644E+02,1.7488E-04,-4.2263E+01,-2.2112E+02,-9.9363E+01
174,1.391,2.1449E+02,1.4715E+02,1.8659E-04,-4.3432E+01,-2.2349E+02,-9.7847E+01
175,1.400,2.1497E+02,1.4781E+02,-2.6168E-06,-4.4430E+01,-2.2658E+02,-9.7239E+01
176,1.401,2.1500E+02,1.4785E+02,-1.6359E-05,-4.4479E+01,-2.2651E+02,-9.6925E+01
177,1.411,2.1551E+02,1.4856E+02,-5.6691E-06,-4.5619E+01,-2.2955E+02,-9.5975E+01
178,1.421,2.1602E+02,1.4927E+02,1.4037E-04,-4.6703E+01,-2.3265E+02,-9.5035E+01
179,1.431,2.1651E+02,1.4999E+02,3.4234E-04,-4.7864E+01,-2.3546E+02,-9.3753E+01
180,1.440,2.1697E+02,1.5066E+02,-6.9999E-06,-4.8795E+01,-2.3827E+02,-9.2698E+01
181,1.441,2.1701E+02,1.5071E+02,1.8414E-04,-4.8952E+01,-2.3823E+02,-9.2391E+01
182,1.451,2.1748E+02,1.5144E+02,2.6487E-07,-5.0053E+01,-2.4144E+02,-9.1426E+01
183,1.461,2.1796E+02,1.5217E+02,-3.0648E-05,-5.0682E+01,-2.4436E+02,-9.0118E+01
184,1.471,2.1843E+02,1.5291E+02,4.2130E-05,-5.4529E+01,-2.4752E+02,-8.9005E+01
185,1.480,2.1885E+02,1.5360E+02,6.6963E-05,-5.3245E+01,-2.5079E+02,-8.8238E+01
186,1.481,2.1888E+02,1.5365E+02,3.2779E-05,-5.3028E+01,-2.5074E+02,-8.7907E+01
187,1.491,2.1933E+02,1.5440E+02,-4.8032E-05,-5.4527E+01,-2.5393E+02,-8.6737E+01
188,1.501,2.1979E+02,1.5514E+02,-5.4238E-05,-5.5426E+01,-2.5645E+02,-8.5263E+01
189,1.511,2.2022E+02,1.5589E+02,1.2587E-04,-5.5586E+01,-2.5653E+02,-8.4159E+01
190,1.520,2.2063E+02,1.5658E+02,-3.3792E-05,-5.5578E+01,-2.5660E+02,-8.3317E+01
191,1.521,2.2065E+02,1.5663E+02,1.0021E-04,-5.5576E+01,-2.5629E+02,-8.2942E+01
192,1.531,2.2107E+02,1.5737E+02,3.4314E-05,-5.5552E+01,-2.5589E+02,-8.1585E+01
193,1.541,2.2148E+02,1.5811E+02,1.1494E-04,-5.5578E+01,-2.5561E+02,-8.0357E+01
194,1.551,2.2188E+02,1.5884E+02,1.9216E-06,-5.5377E+01,-2.5520E+02,-7.9026E+01
195,1.560,2.2224E+02,1.5952E+02,8.3377E-05,-5.5600E+01,-2.5516E+02,-7.8131E+01
196,1.561,2.2227E+02,1.5957E+02,-8.7690E-06,-5.5576E+01,-2.5485E+02,-7.7759E+01
197,1.571,2.2263E+02,1.6029E+02,-6.0653E-05,-5.5695E+01,-2.5431E+02,-7.6326E+01
198,1.581,2.2300E+02,1.6101E+02,1.3021E-04,-5.5517E+01,-2.5403E+02,-7.5173E+01
199,1.591,2.2335E+02,1.6173E+02,2.7178E-04,-5.5554E+01,-2.5349E+02,-7.3770E+01
200,1.600,2.2367E+02,1.6239E+02,-1.0881E-04,-5.5581E+01,-2.5282E+02,-7.2314E+01
201,1.601,2.2369E+02,1.6244E+02,1.9241E-06,-5.5587E+01,-2.5259E+02,-7.2029E+01
202,1.611,2.2402E+02,1.6315E+02,-1.0242E-05,-5.5860E+01,-2.5212E+02,-7.0727E+01
203,1.621,2.2434E+02,1.6385E+02,6.2567E-05,-5.5527E+01,-2.5147E+02,-6.9275E+01
204,1.631,2.2465E+02,1.6455E+02,-1.2086E-05,-5.5963E+01,-2.5033E+02,-6.7336E+01
205,1.640,2.2493E+02,1.6519E+02,1.2530E-04,-5.5446E+01,-2.5014E+02,-6.6427E+01
206,1.641,2.2495E+02,1.6524E+02,-2.2598E-05,-5.5564E+01,-2.4987E+02,-6.6111E+01
207,1.651,2.2524E+02,1.6592E+02,2.9098E-04,-5.5535E+01,-2.4904E+02,-6.4524E+01
208,1.661,2.2552E+02,1.6660E+02,-1.4321E-05,-5.5487E+01,-2.4804E+02,-6.2779E+01
209,1.671,2.2579E+02,1.6728E+02,1.9904E-04,-5.6476E+01,-2.4733E+02,-6.1349E+01
