Frame,Time,LinearDisplacement3,LinearDisplacement4,AngularDisplacement2,AngularVelocity1,AngularVelocity2,AngularVelocity3
192,1.616,4.6015E+03,5.8508E+03,8.8453E+00,1.1019E+00,-1.4993E+02,-3.1016E-09
193,1.626,4.6010E+03,5.8541E+03,8.1295E+00,-1.4286E+00,-1.4822E+02,-7.2242E-09
194,1.636,4.6006E+03,5.8571E+03,7.4244E+00,-3.9585E+00,-1.4649E+02,1.2854E-09
195,1.640,4.6004E+03,5.8582E+03,7.1710E+00,-4.8760E+00,-1.4585E+02,0.0000E+00
196,1.646,4.6002E+03,5.8601E+03,6.7264E+00,-6.5172E+00,-1.4471E+02,-1.4573E-09
197,1.656,4.5999E+03,5.8629E+03,6.0365E+00,-9.0631E+00,-1.4291E+02,2.2956E-09
198,1.666,4.5997E+03,5.8654E+03,5.3608E+00,-1.1611E+01,-1.4108E+02,6.7736E-09
199,1.677,4.5995E+03,5.8679E+03,4.6894E+00,-1.4184E+01,-1.3922E+02,1.6705E-08
200,1.680,4.5994E+03,5.8687E+03,4.4629E+00,-1.5057E+01,-1.3858E+02,0.0000E+00
201,1.687,4.5993E+03,5.8701E+03,4.0325E+00,-1.6757E+01,-1.3734E+02,2.6328E-09
202,1.697,4.5992E+03,5.8722E+03,3.3842E+00,-1.9314E+01,-1.3545E+02,1.2808E-09
203,1.707,4.5991E+03,5.8741E+03,2.7438E+00,-2.1890E+01,-1.3352E+02,4.0415E-09
204,1.717,4.5990E+03,5.8761E+03,2.0764E+00,8.8787E+00,-1.3148E+02,-3.1482E-06
205,1.720,4.5990E+03,5.8767E+03,1.8965E+00,-1.0201E+00,-1.3093E+02,1.9878E-16
206,1.727,4.5989E+03,5.8782E+03,1.4404E+00,-1.0836E+01,-1.2951E+02,5.7520E-09
207,1.737,4.5989E+03,5.8806E+03,8.1467E-01,-3.5060E+00,-1.2750E+02,-7.1697E-09
208,1.747,4.5988E+03,5.8832E+03,2.0814E-01,1.5279E+00,-1.2550E+02,-2.3953E-08
209,1.758,4.5988E+03,5.8859E+03,-3.8450E-01,5.4890E-02,-1.2349E+02,8.7865E-10
210,1.760,4.5988E+03,5.8866E+03,-5.2891E-01,2.9832E-02,-1.2299E+02,-6.2120E-17
211,1.768,4.5989E+03,5.8886E+03,-9.6519E-01,-1.8394E-02,-1.2148E+02,-2.6871E-09
212,1.778,4.5989E+03,5.8912E+03,-1.5364E+00,1.3925E-02,-1.1945E+02,-3.4975E-09
213,1.788,4.5990E+03,5.8938E+03,-2.0993E+00,-2.2523E-03,-1.1741E+02,-2.8827E-09
214,1.798,4.5991E+03,5.8964E+03,-2.6530E+00,-7.5160E-04,-1.1535E+02,-1.1366E-08
215,1.800,4.5991E+03,5.8970E+03,-2.7833E+00,-4.9453E-03,-1.1486E+02,2.6401E-17
216,1.808,4.5992E+03,5.8989E+03,-3.1962E+00,-1.5048E-03,-1.1330E+02,-1.4621E-09
217,1.818,4.5994E+03,5.9013E+03,-3.7295E+00,3.4096E-02,-1.1124E+02,-1.8527E-09
218,1.828,4.5996E+03,5.9038E+03,-4.2592E+00,-1.3114E-02,-1.0914E+02,-1.8470E-08
219,1.838,4.5998E+03,5.9062E+03,-4.7898E+00,-2.5119E-02,-1.0701E+02,-1.4398E-09
220,1.840,4.5998E+03,5.9067E+03,-4.8863E+00,5.9836E-04,-1.0661E+02,9.7422E-16
221,1.848,4.6000E+03,5.9086E+03,-5.2988E+00,-2.6939E-02,-1.0491E+02,-1.2043E-09
222,1.858,4.6002E+03,5.9108E+03,-5.7970E+00,-8.5169E-03,-1.0281E+02,4.0184E-10
223,1.868,4.6004E+03,5.9131E+03,-6.2850E+00,8.7019E-03,-1.0072E+02,-1.7483E-09
224,1.878,4.6007E+03,5.9153E+03,-6.7617E+00,-6.6491E-02,-9.8631E+01,1.8316E-08
225,1.880,4.6007E+03,5.9156E+03,-6.8374E+00,-1.0192E-03,-9.8296E+01,2.5760E-16
226,1.888,4.6009E+03,5.9174E+03,-7.2284E+00,2.5345E-02,-9.6544E+01,1.9250E-09
227,1.898,4.6012E+03,5.9195E+03,-7.6844E+00,2.1388E-02,-9.4461E+01,-1.3278E-08
228,1.908,4.6015E+03,5.9215E+03,-8.1310E+00,-4.2800E-03,-9.2377E+01,-1.1141E-08
229,1.918,4.6018E+03,5.9235E+03,-8.5695E+00,-2.6068E-03,-9.0290E+01,-1.8196E-09
230,1.920,4.6019E+03,5.9238E+03,-8.6362E+00,9.2298E-03,-8.9968E+01,2.2519E-16
231,1.928,4.6021E+03,5.9255E+03,-8.9977E+00,5.4094E-02,-8.8207E+01,-9.5952E-09
232,1.938,4.6024E+03,5.9274E+03,-9.4162E+00,2.6443E-03,-8.6128E+01,8.0892E-09
233,1.948,4.6028E+03,5.9293E+03,-9.8256E+00,6.5367E-03,-8.4049E+01,-2.2550E-09
