time,leftV,rightV
2.842,-0.790790790790791,-8.36736736736737
2.843,-0.785785785785786,-8.37137137137137
2.844,-0.780780780780781,-8.37537537537538
2.845,-0.775775775775776,-8.37937937937938
2.846,-0.77077077077077,-8.38338338338338
2.847,-0.765765765765765,-8.38738738738739
2.848,-0.76076076076076,-8.39139139139139
2.849,-0.755755755755755,-8.3953953953954
2.85,-0.75075075075075,-8.3993993993994
2.851,-0.745745745745745,-8.4034034034034
2.852,-0.74074074074074,-8.40740740740741
2.853,-0.735735735735735,-8.41141141141141
2.854,-0.73073073073073,-8.41541541541542
2.855,-0.725725725725725,-8.41941941941942
2.856,-0.72072072072072,-8.42342342342342
2.857,-0.715715715715715,-8.42742742742743
2.858,-0.71071071071071,-8.43143143143143
2.859,-0.705705705705705,-8.43543543543544
2.86,-0.7007007007007,-8.43943943943944
2.861,-0.695695695695695,-8.44344344344344
2.862,-0.69069069069069,-8.44744744744745
2.863,-0.685685685685685,-8.45145145145145
2.864,-0.68068068068068,-8.45545545545546
2.865,-0.675675675675675,-8.45945945945946
2.866,-0.67067067067067,-8.46346346346346
2.867,-0.665665665665665,-8.46746746746747
2.868,-0.66066066066066,-8.47147147147147
2.869,-0.655655655655655,-8.47547547547548
2.87,-0.65065065065065,-8.47947947947948
2.871,-0.645645645645645,-8.48348348348348
2.872,-0.64064064064064,-8.48748748748749
2.873,-0.635635635635635,-8.49149149149149
2.874,-0.63063063063063,-8.4954954954955
2.875,-0.625625625625625,-8.4994994994995
2.876,-0.62062062062062,-8.5035035035035
2.877,-0.615615615615615,-8.50750750750751
2.878,-0.61061061061061,-8.51151151151151
2.879,-0.605605605605605,-8.51551551551552
2.88,-0.6006006006006,-8.51951951951952
2.881,-0.595595595595595,-8.52352352352352
2.882,-0.59059059059059,-8.52752752752753
2.883,-0.585585585585585,-8.53153153153153
2.884,-0.58058058058058,-8.53553553553554
2.885,-0.575575575575575,-8.53953953953954
2.886,-0.57057057057057,-8.54354354354354
2.887,-0.565565565565565,-8.54754754754755
2.888,-0.56056056056056,-8.55155155155155
2.889,-0.555555555555555,-8.55555555555556
2.89,-0.55055055055055,-8.55955955955956
2.891,-0.545545545545545,-8.56356356356356
2.892,-0.54054054054054,-8.56756756756757
2.893,-0.535535535535535,-8.57157157157157
2.894,-0.53053053053053,-8.57557557557558
2.895,-0.525525525525525,-8.57957957957958
2.896,-0.52052052052052,-8.58358358358358
2.897,-0.515515515515515,-8.58758758758759
2.898,-0.51051051051051,-8.59159159159159
2.899,-0.505505505505505,-8.5955955955956
2.9,-0.5005005005005,-8.5995995995996
2.901,-0.495495495495495,-8.6036036036036
2.902,-0.49049049049049,-8.60760760760761
2.903,-0.485485485485485,-8.61161161161161
2.904,-0.48048048048048,-8.61561561561562
2.905,-0.475475475475475,-8.61961961961962
2.906,-0.47047047047047,-8.62362362362362
2.907,-0.465465465465465,-8.62762762762763
2.908,-0.46046046046046,-8.63163163163163
2.909,-0.455455455455455,-8.63563563563564
2.91,-0.45045045045045,-8.63963963963964
2.911,-0.445445445445445,-8.64364364364364
2.912,-0.44044044044044,-8.64764764764765
2.913,-0.435435435435435,-8.65165165165165
2.914,-0.43043043043043,-8.65565565565566
2.915,-0.425425425425425,-8.65965965965966
2.916,-0.42042042042042,-8.66366366366366
2.917,-0.415415415415415,-8.66766766766767
2.918,-0.41041041041041,-8.67167167167167
2.919,-0.405405405405405,-8.67567567567568
2.92,-0.4004004004004,-8.67967967967968
2.921,-0.395395395395395,-8.68368368368368
2.922,-0.39039039039039,-8.68768768768769
2.923,-0.385385385385385,-8.69169169169169
2.924,-0.38038038038038,-8.6956956956957
2.925,-0.375375375375375,-8.6996996996997
2.926,-0.37037037037037,-8.7037037037037
2.927,-0.365365365365365,-8.70770770770771
2.928,-0.36036036036036,-8.71171171171171
2.929,-0.355355355355355,-8.71571571571572
2.93,-0.35035035035035,-8.71971971971972
2.931,-0.345345345345345,-8.72372372372372
2.932,-0.34034034034034,-8.72772772772773
2.933,-0.335335335335335,-8.73173173173173
2.934,-0.33033033033033,-8.73573573573574
2.935,-0.325325325325325,-8.73973973973974
2.936,-0.32032032032032,-8.74374374374374
2.937,-0.315315315315315,-8.74774774774775
2.938,-0.31031031031031,-8.75175175175175
2.939,-0.305305305305305,-8.75575575575576
2.94,-0.3003003003003,-8.75975975975976
2.941,-0.295295295295295,-8.76376376376376
2.942,-0.29029029029029,-8.76776776776777
2.943,-0.285285285285285,-8.77177177177177
2.944,-0.28028028028028,-8.77577577577578
2.945,-0.275275275275275,-8.77977977977978
2.946,-0.27027027027027,-8.78378378378378
2.947,-0.265265265265265,-8.78778778778779
2.948,-0.26026026026026,-8.79179179179179
2.949,-0.255255255255255,-8.7957957957958
2.95,-0.25025025025025,-8.7997997997998
2.951,-0.245245245245245,-8.8038038038038
2.952,-0.24024024024024,-8.80780780780781
2.953,-0.235235235235235,-8.81181181181181
2.954,-0.23023023023023,-8.81581581581582
2.955,-0.225225225225225,-8.81981981981982
2.956,-0.22022022022022,-8.82382382382382
2.957,-0.215215215215215,-8.82782782782783
2.958,-0.21021021021021,-8.83183183183183
2.959,-0.205205205205205,-8.83583583583584
2.96,-0.2002002002002,-8.83983983983984
2.961,-0.195195195195195,-8.84384384384384
2.962,-0.19019019019019,-8.84784784784785
2.963,-0.185185185185185,-8.85185185185185
2.964,-0.18018018018018,-8.85585585585586
2.965,-0.175175175175175,-8.85985985985986
2.966,-0.17017017017017,-8.86386386386386
2.967,-0.165165165165165,-8.86786786786787
2.968,-0.16016016016016,-8.87187187187187
2.969,-0.155155155155155,-8.87587587587588
2.97,-0.15015015015015,-8.87987987987988
2.971,-0.145145145145145,-8.88388388388388
2.972,-0.14014014014014,-8.88788788788789
2.973,-0.135135135135135,-8.89189189189189
2.974,-0.13013013013013,-8.8958958958959
2.975,-0.125125125125125,-8.8998998998999
2.976,-0.12012012012012,-8.9039039039039
2.977,-0.115115115115115,-8.90790790790791
2.978,-0.11011011011011,-8.91191191191191
2.979,-0.105105105105105,-8.91591591591592
2.98,-0.1001001001001,-8.91991991991992
2.981,-0.0950950950950951,-8.92392392392392
2.982,-0.0900900900900901,-8.92792792792793
2.983,-0.0850850850850851,-8.93193193193193
2.984,-0.0800800800800801,-8.93593593593594
2.985,-0.075075075075075,-8.93993993993994
2.986,-0.07007007007007,-8.94394394394394
2.987,-0.065065065065065,-8.94794794794795
2.988,-0.06006006006006,-8.95195195195195
2.989,-0.055055055055055,-8.95595595595596
2.99,-0.05005005005005,-8.95995995995996
2.991,-0.045045045045045,-8.96396396396396
2.992,-0.04004004004004,-8.96796796796797
2.993,-0.035035035035035,-8.97197197197197
2.994,-0.03003003003003,-8.97597597597598
2.995,-0.025025025025025,-8.97997997997998
2.996,-0.02002002002002,-8.98398398398398
2.997,-0.015015015015015,-8.98798798798799
2.998,-0.01001001001001,-8.99199199199199
2.999,-0.005005005005005,-8.995995995996
3,0,-9
3.001,0,-9
3.002,0.005005005005005,-9
3.003,0.01001001001001,-9
3.004,0.015015015015015,-9
3.005,0.02002002002002,-9
3.006,0.025025025025025,-9
3.007,0.03003003003003,-9
3.008,0.035035035035035,-9
3.009,0.04004004004004,-9
3.01,0.045045045045045,-9
3.011,0.0500500500500501,-9
3.012,0.0550550550550551,-9
3.013,0.0600600600600601,-9
3.014,0.0650650650650651,-9
3.015,0.0700700700700701,-9
3.016,0.0750750750750751,-9
3.017,0.0800800800800801,-9
3.018,0.0850850850850851,-9
3.019,0.0900900900900901,-9
3.02,0.0950950950950951,-9
3.021,0.1001001001001,-9
3.022,0.105105105105105,-9
3.023,0.11011011011011,-9
3.024,0.115115115115115,-9
3.025,0.12012012012012,-9
3.026,0.125125125125125,-9
3.027,0.13013013013013,-9
3.028,0.135135135135135,-9
3.029,0.14014014014014,-9
3.03,0.145145145145145,-9
3.031,0.15015015015015,-9
3.032,0.155155155155155,-9
3.033,0.16016016016016,-9
3.034,0.165165165165165,-9
3.035,0.17017017017017,-9
3.036,0.175175175175175,-9
3.037,0.18018018018018,-9
3.038,0.185185185185185,-9
3.039,0.19019019019019,-9
3.04,0.195195195195195,-9
3.041,0.2002002002002,-9
3.042,0.205205205205205,-9
3.043,0.21021021021021,-9
3.044,0.215215215215215,-9
3.045,0.22022022022022,-9
3.046,0.225225225225225,-9
3.047,0.23023023023023,-9
3.048,0.235235235235235,-9
3.049,0.24024024024024,-9
3.05,0.245245245245245,-9
3.051,0.25025025025025,-9
3.052,0.255255255255255,-9
3.053,0.26026026026026,-9
3.054,0.265265265265265,-9
3.055,0.27027027027027,-9
3.056,0.275275275275275,-9
3.057,0.28028028028028,-9
3.058,0.285285285285285,-9
3.059,0.29029029029029,-9
3.06,0.295295295295295,-9
3.061,0.3003003003003,-9
3.062,0.305305305305305,-9
3.063,0.31031031031031,-9
3.064,0.315315315315315,-9
3.065,0.32032032032032,-9
3.066,0.325325325325325,-9
3.067,0.33033033033033,-9
3.068,0.335335335335335,-9
3.069,0.34034034034034,-9
3.07,0.345345345345345,-9
3.071,0.35035035035035,-9
3.072,0.355355355355355,-9
3.073,0.36036036036036,-9
3.074,0.365365365365365,-9
3.075,0.37037037037037,-9
3.076,0.375375375375375,-9
3.077,0.38038038038038,-9
3.078,0.385385385385385,-9
3.079,0.39039039039039,-9
3.08,0.395395395395395,-9
3.081,0.4004004004004,-9
3.082,0.405405405405405,-9
3.083,0.41041041041041,-9
3.084,0.415415415415415,-9
3.085,0.42042042042042,-9
3.086,0.425425425425425,-9
3.087,0.43043043043043,-9
3.088,0.435435435435435,-9
3.089,0.44044044044044,-9
3.09,0.445445445445445,-9
3.091,0.45045045045045,-9
3.092,0.455455455455455,-9
3.093,0.46046046046046,-9
3.094,0.465465465465465,-9
3.095,0.47047047047047,-9
3.096,0.475475475475475,-9
3.097,0.48048048048048,-9
3.098,0.485485485485485,-9
3.099,0.49049049049049,-9
3.1,0.495495495495495,-9
3.101,0.500500500500501,-9
3.102,0.505505505505506,-9
3.103,0.510510510510511,-9
3.104,0.515515515515516,-9
3.105,0.520520520520521,-9
3.106,0.525525525525526,-9
3.107,0.530530530530531,-9
3.108,0.535535535535536,-9
3.109,0.540540540540541,-9
3.11,0.545545545545546,-9
3.111,0.550550550550551,-9
3.112,0.555555555555556,-9
3.113,0.560560560560561,-9
3.114,0.565565565565566,-9
3.115,0.570570570570571,-9
3.116,0.575575575575576,-9
3.117,0.580580580580581,-9
3.118,0.585585585585586,-9
3.119,0.590590590590591,-9
3.12,0.595595595595596,-9
3.121,0.600600600600601,-9
3.122,0.605605605605606,-9
3.123,0.610610610610611,-9
3.124,0.615615615615616,-9
3.125,0.620620620620621,-9
3.126,0.625625625625626,-9
3.127,0.630630630630631,-9
3.128,0.635635635635636,-9
3.129,0.640640640640641,-9
3.13,0.645645645645646,-9
3.131,0.650650650650651,-9
3.132,0.655655655655656,-9
3.133,0.660660660660661,-9
3.134,0.665665665665666,-9
3.135,0.670670670670671,-9
3.136,0.675675675675676,-9
3.137,0.680680680680681,-9
3.138,0.685685685685686,-9
3.139,0.690690690690691,-9
3.14,0.695695695695696,-9
3.141,0.700700700700701,-9
3.142,0.705705705705706,-9
3.143,0.710710710710711,-9
3.144,0.715715715715716,-9
3.145,0.720720720720721,-9
3.146,0.725725725725726,-9
3.147,0.730730730730731,-9
3.148,0.735735735735736,-9
3.149,0.740740740740741,-9
3.15,0.745745745745746,-9
3.151,0.750750750750751,-9
3.152,0.755755755755756,-9
3.153,0.760760760760761,-9
3.154,0.765765765765766,-9
3.155,0.770770770770771,-9
3.156,0.775775775775776,-9
3.157,0.780780780780781,-9
3.158,0.785785785785786,-9
3.159,0.790790790790791,-9
3.16,0.795795795795796,-9
3.161,0.800800800800801,-9
3.162,0.805805805805806,-9
3.163,0.810810810810811,-9
3.164,0.815815815815816,-9
3.165,0.820820820820821,-9
3.166,0.825825825825826,-9
3.167,0.830830830830831,-9
3.168,0.835835835835836,-9
3.169,0.840840840840841,-9
3.17,0.845845845845846,-9
3.171,0.850850850850851,-9
3.172,0.855855855855856,-9
3.173,0.860860860860861,-9
3.174,0.865865865865866,-9
3.175,0.870870870870871,-9
3.176,0.875875875875876,-9
3.177,0.880880880880881,-9
3.178,0.885885885885886,-9
3.179,0.890890890890891,-9
3.18,0.895895895895896,-9
3.181,0.900900900900901,-9
3.182,0.905905905905906,-9
3.183,0.910910910910911,-9
3.184,0.915915915915916,-9
3.185,0.920920920920921,-9
3.186,0.925925925925926,-9
3.187,0.930930930930931,-9
3.188,0.935935935935936,-9
3.189,0.940940940940941,-9
3.19,0.945945945945946,-9
3.191,0.950950950950951,-9
3.192,0.955955955955956,-9
3.193,0.960960960960961,-9
3.194,0.965965965965966,-9
3.195,0.970970970970971,-9
3.196,0.975975975975976,-9
3.197,0.980980980980981,-9
3.198,0.985985985985986,-9
3.199,0.990990990990991,-9
3.2,0.995995995995996,-9
3.201,1.001001001001,-9
3.202,1.00600600600601,-9
3.203,1.01101101101101,-9
3.204,1.01601601601602,-9
3.205,1.02102102102102,-9
3.206,1.02602602602603,-9
3.207,1.03103103103103,-9
3.208,1.03603603603604,-9
3.209,1.04104104104104,-9
3.21,1.04604604604605,-9
3.211,1.05105105105105,-9
3.212,1.05605605605606,-9
3.213,1.06106106106106,-9
3.214,1.06606606606607,-9
3.215,1.07107107107107,-9
3.216,1.07607607607608,-9
